#,Category,Link,Repository Name
37,Payload / Exploit Frameworks,github.com/swisskyrepo/PayloadsAllTheThings/tree/master/Insecure%20Direct%20Object%20References,Insecure%20Direct%20Object%20References
38,Payload / Exploit Frameworks,github.com/swisskyrepo/PayloadsAllTheThings/tree/master/Insecure%20Source%20Code%20Management,Insecure%20Source%20Code%20Management
39,Payload / Exploit Frameworks,github.com/swisskyrepo/PayloadsAllTheThings/tree/master/LDAP%20Injection,LDAP%20Injection
40,Payload / Exploit Frameworks,github.com/swisskyrepo/PayloadsAllTheThings/tree/master/LaTeX%20Injection,LaTeX%20Injection
41,Payload / Exploit Frameworks,github.com/swisskyrepo/PayloadsAllTheThings/tree/master/NoSQL%20Injection,NoSQL%20Injection
42,Payload / Exploit Frameworks,github.com/swisskyrepo/PayloadsAllTheThings/tree/master/OAuth,OAuth
43,Payload / Exploit Frameworks,github.com/swisskyrepo/PayloadsAllTheThings/tree/master/Server%20Side%20Request%20Forgery,Server%20Side%20Request%20Forgery
44,Payload / Exploit Frameworks,github.com/swisskyrepo/PayloadsAllTheThings/tree/master/Server%20Side%20Template%20Injection,Server%20Side%20Template%20Injection
45,Payload / Exploit Frameworks,github.com/swisskyrepo/PayloadsAllTheThings/tree/master/Upload%20Insecure%20Files,Upload%20Insecure%20Files
46,Payload / Exploit Frameworks,github.com/swisskyrepo/PayloadsAllTheThings/tree/master/XPATH%20Injection,XPATH%20Injection
47,Data Breach / Leak Search,globaleaks.org,globaleaks.org
48,Data Breach / Leak Search,haveibeenpwned.com,haveibeenpwned.com
49,Other / Uncategorized Security Tools,http://finger.tidesec.com/,
50,Payload / Exploit Frameworks,http://github.com/V1li/H4X-Tools,H4X-Tools
51,Other / Uncategorized Security Tools,http://gqrx.dk/,
52,Other / Uncategorized Security Tools,http://pwnwiki.io/,
53,Web Exploitation Payloads (XSS/SQLi/SSRF/etc.),http://sniff.su/,
54,Scanner / Vulnerability Assessment,http://whatweb.bugscaner.com/look/,
55,Recon / OSINT,http://www.bishopfox.com/resources/tools/google-hacking-diggity/attack-tools/,
56,Scanner / Vulnerability Assessment,http://www.openvas.org/,
57,Other / Uncategorized Security Tools,http://www.skymem.info/,
58,Payload / Exploit Frameworks,http://www.xss-payloads.com/,
59,CMS / Framework Identification,http://www.yunsee.cn/,
60,Payload / Exploit Frameworks,https://0day.today/,
61,Other / Uncategorized Security Tools,https://0ops.sjtu.edu.cn/,
62,Other / Uncategorized Security Tools,https://anymailfinder.com/,
63,Other / Uncategorized Security Tools,https://autopsy.com,autopsy.com
64,Other / Uncategorized Security Tools,https://bugcrowd.com/crowdstream,crowdstream
65,Other / Uncategorized Security Tools,https://capturetheflag.withgoogle.com/,
66,Other / Uncategorized Security Tools,https://codereview.training/,
67,Other / Uncategorized Security Tools,https://ctf.hack.lu/,
68,Other / Uncategorized Security Tools,https://ctf.hacker101.com/,
69,Other / Uncategorized Security Tools,https://ctf.hitcon.org/,
70,Other / Uncategorized Security Tools,https://ctflearn.com/,
71,Other / Uncategorized Security Tools,https://ctftime.org/,
72,Payload / Exploit Frameworks,https://cvexploits.io/,
73,Other / Uncategorized Security Tools,https://cyberdefenders.org/,
74,Other / Uncategorized Security Tools,https://deftlinux.net,deftlinux.net
75,Recon / OSINT,https://dnsdumpster.com/,
76,Other / Uncategorized Security Tools,https://dragonsector.pl/,
77,Network / WiFi,https://en.hacks.gr/odigos-wifi-hacking-me-to-wifite/,
78,Recon / OSINT,https://en.hacks.gr/pos-na-xrisimopoiisete-proxychain/,
79,Other / Uncategorized Security Tools,https://en.iguru.gr/anakalypse-sql-injection-enan-web-server/,
80,Other / Uncategorized Security Tools,https://en.iguru.gr/odigos-epitheseon-ddos-goldeneye/,
81,Scanner / Vulnerability Assessment,https://en.iguru.gr/odigos-fuzzing-gia-tin-evresi-kenon-asfaleias-burpsuite/,
82,Other / Uncategorized Security Tools,https://f-droid.org/packages/com.termux/,
83,Other / Uncategorized Security Tools,https://fp.shuziguanxing.com/,
84,Other / Uncategorized Security Tools,https://gist.github.com/Cur10s1tyByt3/6567c5b8df11ec9ec1219693c7bd,6567c5b8df11ec9ec1219693c7bd
85,Other / Uncategorized Security Tools,https://gist.github.com/Cur10s1tyByt3/c5a43c1e3f8b04ebda879b8dbc7fdc15,c5a43c1e3f8b04ebda879b8dbc7fdc15
86,Other / Uncategorized Security Tools,https://gist.github.com/Cur10s1tyByt3/d23715fcb9f430536f9fa0244d84dfba,d23715fcb9f430536f9fa0244d84dfba
87,Other / Uncategorized Security Tools,https://gist.github.com/Cur10s1tyByt3/dc588ed536b79301417fa34719db7400,dc588ed536b79301417fa34719db7400
88,Phishing / Initial Access,https://gitHub.com/evildevill/emptyphish,emptyphish
89,CTF Tools,https://github.com/0x00-0x00/shellpop,shellpop
90,Other / Uncategorized Security Tools,https://github.com/0x0be/yesitsme,yesitsme
91,Offensive AI,https://github.com/0x4m4/hexstrike-ai,hexstrike-ai
92,Recon / OSINT,https://github.com/0x6rss/chat-apps-osint/,
93,CMS / Framework Identification,https://github.com/0x727/FingerprintHub,FingerprintHub
94,CMS / Framework Identification,https://github.com/0x727/ObserverWard,ObserverWard
95,General Hacking Tools,https://github.com/0xBugatti/oscpdb,oscpdb
96,Phishing / Initial Access,https://github.com/0xDanielLopez/phishing_kits,phishing_kits
97,Scanner / Vulnerability Assessment,https://github.com/0xKayala/NucleiScanner,NucleiScanner
98,Defense Evasion / AV-EDR Bypass,https://github.com/0xNinjaCyclone/hellMaker,hellMaker
99,AI-Powered Tools,https://github.com/0xSteph/pentest-ai,pentest-ai
100,RAT / C2 / Botnet,https://github.com/0xbitx/DEDSEC_BOTNET,DEDSEC_BOTNET
101,RAT / C2 / Botnet,https://github.com/0xyg3n/claude-c2,claude-c2
102,Scanner / Vulnerability Assessment,https://github.com/20142995/Goby,Goby
103,RAT / C2 / Botnet,https://github.com/28Zaaky/PulseC2,PulseC2
104,RAT / C2 / Botnet,https://github.com/28Zaaky/khaos-c2,khaos-c2
105,Recon / OSINT,https://github.com/3nock/SpiderSuite,SpiderSuite
106,Scanner / Vulnerability Assessment,https://github.com/4dogs-cn/TXPortMap,TXPortMap
107,Mobile / Phone Hacking,https://github.com/4mritGiri/NumberTracker,NumberTracker
108,Scanner / Vulnerability Assessment,https://github.com/4ra1n/super-xray,super-xray
109,RAT / C2 / Botnet,https://github.com/5arth4k-X/RedVect0r,RedVect0r
110,Defense Evasion / AV-EDR Bypass,https://github.com/888private888/PredatorCrypter,PredatorCrypter
111,Scanner / Vulnerability Assessment,https://github.com/ADScanPro/adscan,adscan
112,Other / Uncategorized Security Tools,https://github.com/AI-secure/UDora,UDora
113,Other / Uncategorized Security Tools,https://github.com/ALW1EZ/Arkhota,Arkhota
114,Other / Uncategorized Security Tools,https://github.com/ANDRVV/gapcast,gapcast
115,Malware Analysis / Sandbox / Forensics / Reverse Engineering,https://github.com/APKLab/APKLab,APKLab
116,Scanner / Vulnerability Assessment,https://github.com/Abhinandan-Khurana/Network_Scanner,Network_Scanner
117,Malware Analysis / Sandbox / Forensics / Reverse Engineering,https://github.com/Adityaraj6/VPLE,VPLE
118,Phishing / Initial Access,https://github.com/Adrilaw/MedusaPhisher,MedusaPhisher
119,Web Shell / Reverse Shell,https://github.com/Adrilaw/PhantomShell,PhantomShell
120,Malware Analysis / Sandbox / Forensics / Reverse Engineering,https://github.com/AkaTorich/HTTSDebugger,HTTSDebugger
121,Phishing / Initial Access,https://github.com/Akshay-Arjun/69phisher,69phisher
122,CMS / Framework Identification,https://github.com/AliasIO/Wappalyzer,Wappalyzer
123,Other / Uncategorized Security Tools,https://github.com/Alishahryar1/free-claude-code,free-claude-code
124,Defense Evasion / AV-EDR Bypass,https://github.com/Amaop/Rust-Crypter,Rust-Crypter
125,Defense Evasion / AV-EDR Bypass,https://github.com/An0nUD4Y/FullBypass,FullBypass
126,Phishing / Initial Access,https://github.com/An0nUD4Y/shellphish,shellphish
127,Android,https://github.com/Android1500/AndroidFaker,AndroidFaker
128,Defense Evasion / AV-EDR Bypass,https://github.com/AndyFul/Run-By-Smartscreen,Run-By-Smartscreen
129,Other / Uncategorized Security Tools,https://github.com/Ap0dexMe0/CodeSentience,CodeSentience
130,Scanner / Vulnerability Assessment,https://github.com/Arachni/arachni,arachni
131,AI-Powered Tools,https://github.com/Armur-Ai/Pentest-Swarm-AI,Pentest-Swarm-AI
132,Recon / OSINT,https://github.com/Astrosp/Awesome-OSINT-List,Awesome-OSINT-List
133,Mobile / Phone Hacking,https://github.com/AzeemIdrisi/PhoneSploit-Pro,PhoneSploit-Pro
134,RAT / C2 / Botnet,https://github.com/BC-SECURITY/Empire,Empire
135,Payload / Exploit Frameworks,https://github.com/BC-SECURITY/Starkiller,Starkiller
136,Privilege Escalation,https://github.com/BeichenDream/SharpToken,SharpToken
137,DDoS / Bombing Tools,https://github.com/Bhai4You/otpbomber,otpbomber
138,Email Utilities,https://github.com/Billionmail/BillionMail,BillionMail
139,AI-Powered Tools,https://github.com/Bin-Huang/chatbox,chatbox
140,Android,https://github.com/BlackSnufkin/GeckoDroid,GeckoDroid
141,Other / Uncategorized Security Tools,https://github.com/BlackSnufkin/LitterBox,LitterBox
142,Stealer / Keylogger / Grabber,https://github.com/BlackSnufkin/Maverick,Maverick
143,Stealer / Keylogger / Grabber,https://github.com/Blank-c/Umbral-Stealer,Umbral-Stealer
144,Network / WiFi,https://github.com/BornToBeRoot/NETworkManager,NETworkManager
145,Scanner / Vulnerability Assessment,https://github.com/Btr4k/bugbounty-agent,bugbounty-agent
146,Browser Automation / Scraping,https://github.com/BuilderIO/gpt-crawler,gpt-crawler
147,Recon / OSINT,https://github.com/BullsEye0/shodan-eye,shodan-eye
148,Ransomware,https://github.com/BushidoUK/Ransomware-Tool-Matrix,Ransomware-Tool-Matrix
149,CTF Tools,https://github.com/C2SP/wycheproof,wycheproof
150,Recon / OSINT,https://github.com/C3n7ral051nt4g3ncy/HandleHawk,HandleHawk
151,Recon / OSINT,https://github.com/CScorza/OSINT-FORENSICS-MOBILE,OSINT-FORENSICS-MOBILE
152,Malware Analysis / Sandbox / Forensics / Reverse Engineering,https://github.com/CYB3RMX/MalwareAnalysis101,MalwareAnalysis101
153,Android,https://github.com/CanciuCostin/android-spyware,android-spyware
154,General Hacking Tools,https://github.com/CarterPerez-dev/Cybersecurity-Projects,Cybersecurity-Projects
155,Defense Evasion / AV-EDR Bypass,https://github.com/Cerbersec/KillDefenderBOF,KillDefenderBOF
156,Other / Uncategorized Security Tools,https://github.com/CesarAyalaDev/RAASNet,RAASNet
157,Malware Analysis / Sandbox / Forensics / Reverse Engineering,https://github.com/Cleafy/Malfixer,Malfixer
158,RAT / C2 / Botnet,https://github.com/Cobalt-Strike/bof-vs,bof-vs
159,RAT / C2 / Botnet,https://github.com/Cobalt-Strike/bof_template,bof_template
160,Ransomware,https://github.com/Cryakl/Ransomware-Database,Ransomware-Database
161,RAT / C2 / Botnet,https://github.com/Cryakl/Ultimate-RAT-Collection,Ultimate-RAT-Collection
162,Defense Evasion / AV-EDR Bypass,https://github.com/Cur10s1tyByt3/GhostlyHollowingViaTamperedSyscalls,GhostlyHollowingViaTamperedSyscalls
163,Phishing / Initial Access,https://github.com/Cyber-Dioxide/CyberPhish,CyberPhish
164,Offensive AI,https://github.com/CyberSecurityUP/NeuroSploit,NeuroSploit
165,Offensive AI,https://github.com/CyberSecurityUP/Offensive-AI-Agent-Prompts,Offensive-AI-Agent-Prompts
166,Payload / Exploit Frameworks,https://github.com/D4Vinci/Dr0p1t-Framework,Dr0p1t-Framework
167,Payload / Exploit Frameworks,https://github.com/Da7rkx0/PDF-EXPLOIT--Non-Silent,PDF-EXPLOIT--Non-Silent
168,Phishing / Initial Access,https://github.com/DarkSecDevelopers/HiddenEye-Legacy,HiddenEye-Legacy
169,Stealer / Keylogger / Grabber,https://github.com/DarkSpaceSecurity/SpyAI,SpyAI
170,PHP Web Tools,https://github.com/Deadshot0x7/Webspoilt,Webspoilt
171,RAT / C2 / Botnet,https://github.com/DeimosC2/DeimosC2,DeimosC2
172,General Hacking Tools,https://github.com/DhanushNehru/Ultimate-Cybersecurity-Resources,Ultimate-Cybersecurity-Resources
173,Network / WiFi,https://github.com/DnsChanger/dnsChanger-desktop,dnsChanger-desktop
174,Network / WiFi,https://github.com/DominikStyp/WPA-Attack,WPA-Attack
175,Android,https://github.com/DouglasFreshHabian/AndroidForensics,AndroidForensics
176,Scanner / Vulnerability Assessment,https://github.com/EarToEarOak/RTLSDR-Scanner,RTLSDR-Scanner
177,Offensive AI,https://github.com/Ed1s0nZ/CyberStrikeAI,CyberStrikeAI
178,CMS / Framework Identification,https://github.com/EdgeSecurityTeam/EHole,EHole
179,Scanner / Vulnerability Assessment,https://github.com/EnableSecurity/wafw00f,wafw00f
180,RAT / C2 / Botnet,https://github.com/EricEsquivel/CobaltStrike-Linux-Beacon,CobaltStrike-Linux-Beacon
181,Ransomware,https://github.com/Err0r-ICA/Ransomware,Ransomware
182,Anonymity / Tor / VPN,https://github.com/FDX100/Auto_Tor_IP_changer,Auto_Tor_IP_changer
183,Defense Evasion / AV-EDR Bypass,https://github.com/FLOCK4H/Freeway,Freeway
184,USB / Hardware Tools,https://github.com/FabioBaroni/Was,Was
185,Payload / Exploit Frameworks,https://github.com/FunnyWolf/Viper,Viper
186,CTF Tools,https://github.com/Ganapati/RsaCtfTool,RsaCtfTool
187,Other / Uncategorized Security Tools,https://github.com/Gaurav-Gosain/tuios,tuios
188,Stealer / Keylogger / Grabber,https://github.com/Geeoon/DNS-Tunnel-Keylogger,DNS-Tunnel-Keylogger
189,Android,https://github.com/Genymobile/scrcpy,scrcpy
190,RAT / C2 / Botnet,https://github.com/GeorgePatsias/ScareCrow-CobaltStrike,ScareCrow-CobaltStrike
191,Ransomware,https://github.com/Gheris-579/RANSOMEWARE,RANSOMEWARE
192,Scanner / Vulnerability Assessment,https://github.com/Goqi/Banli,Banli
193,Anonymity / Tor / VPN,https://github.com/GouveaHeitor/nipe,nipe
194,Scanner / Vulnerability Assessment,https://github.com/H4CKTHOR/thor-suiteMonsterEdition,thor-suiteMonsterEdition
195,CMS / Framework Identification,https://github.com/HA71/WhatCMS,WhatCMS
196,Recon / OSINT,https://github.com/HackShiv/OneDorkForAll/tree/main/dorks/1M_dork,1M_dork
197,Other / Uncategorized Security Tools,https://github.com/HackUnderway/SearchPhone/,
198,Red Team Tools,https://github.com/Hacking-Notes/RedTeam,RedTeam
199,Other / Uncategorized Security Tools,https://github.com/Hackplayers/evil-winrm/tree/ai,ai
200,RAT / C2 / Botnet,https://github.com/HavocFramework/Havoc,Havoc
201,Phishing / Initial Access,https://github.com/HiddenPhish/HiddenPhish,HiddenPhish
202,Network / WiFi,https://github.com/IanHarvey/bluepy,bluepy
203,General Hacking Tools,https://github.com/Ilias1988/Hacking-Cheatsheets,Hacking-Cheatsheets
204,Payload / Exploit Frameworks,https://github.com/Ilias1988/payload-obfuscator,payload-obfuscator
205,General Hacking Tools,https://github.com/InspectorDidi/Hacking-Books,Hacking-Books
206,Scanner / Vulnerability Assessment,https://github.com/Jakkxbt/CobraAudit,CobraAudit
207,Network / WiFi,https://github.com/JiaoXianjun/BTLE,BTLE
208,Recon / OSINT,https://github.com/Jieyab89/OSINT-Cheat-sheet?tab=readme-ov-file,OSINT-Cheat-sheet?tab=readme-ov-file
209,Mobile / Phone Hacking,https://github.com/JoaquimLey/sms-parsing,sms-parsing
210,Defense Evasion / AV-EDR Bypass,https://github.com/JoasASantos/SysWhispers4,SysWhispers4
211,Data Breach / Leak Search,https://github.com/JoelGMSec/LeakSearch,LeakSearch
212,Scanner / Vulnerability Assessment,https://github.com/JohnTroony/Blisqy,Blisqy
213,Phishing / Initial Access,https://github.com/KasRoudra/PyPhisher,PyPhisher
214,Other / Uncategorized Security Tools,https://github.com/KeygraphHQ/shannon,shannon
215,Stealer / Keylogger / Grabber,https://github.com/KingOfTheNOPs/cookie-monster,cookie-monster
216,Android,https://github.com/Kirozaku/Andrax-Termux,Andrax-Termux
217,DDoS / Bombing Tools,https://github.com/LMNx9-JOHNY/D-DOS-Attack-24,D-DOS-Attack-24
218,DDoS / Bombing Tools,https://github.com/LMNx9-JOHNY/E-MAIL_BOMBER,E-MAIL_BOMBER
219,Other / Uncategorized Security Tools,https://github.com/LNodesL/12-C-Programs-to-Run-EXE,12-C-Programs-to-Run-EXE
220,Other / Uncategorized Security Tools,https://github.com/LNodesL/CryptDemo,CryptDemo
221,Defense Evasion / AV-EDR Bypass,https://github.com/LNodesL/EspanaKrypt,EspanaKrypt
222,Defense Evasion / AV-EDR Bypass,https://github.com/LNodesL/Sonofa-Byte-Crypting-Program,Sonofa-Byte-Crypting-Program
223,General Hacking Tools,https://github.com/LasCC/HackTools,HackTools
224,Malware Analysis / Sandbox / Forensics / Reverse Engineering,https://github.com/LaurieWired/GhidraMCP,GhidraMCP
225,Payload / Exploit Frameworks,https://github.com/Lavender-exe/BofCollection,BofCollection
226,Network / WiFi,https://github.com/Leo-Corporation/InternetTest,InternetTest
227,DDoS / Bombing Tools,https://github.com/LimerBoy/Impulse,Impulse
228,Recon / OSINT,https://github.com/Lissy93/web-check,web-check
229,Payload / Exploit Frameworks,https://github.com/LongWayHomie/PolyEngine,PolyEngine
230,Other / Uncategorized Security Tools,https://github.com/Lora-net/lora_gateway/tree/master/libloragw/inc,inc
231,Payload / Exploit Frameworks,https://github.com/Lucifer1993/AngelSword,AngelSword
232,Scanner / Vulnerability Assessment,https://github.com/Lucifer1993/struts-scan,struts-scan
233,Password / Credential Attacks,https://github.com/M4xSec/K-OTP-X,K-OTP-X
234,General Hacking Tools,https://github.com/MHaggis/NEBULA,NEBULA
235,Malware Analysis / Sandbox / Forensics / Reverse Engineering,https://github.com/MISP/MISP,MISP
236,Malware Analysis / Sandbox / Forensics / Reverse Engineering,https://github.com/MLX15/StormKitty,StormKitty
237,Stealer / Keylogger / Grabber,https://github.com/Maldev-Academy/DumpBrowserSecrets,DumpBrowserSecrets
238,RAT / C2 / Botnet,https://github.com/MaorSabag/Adaptix-StealthPalace,Adaptix-StealthPalace
239,Other / Uncategorized Security Tools,https://github.com/MaorSabag/NaX,NaX
240,RAT / C2 / Botnet,https://github.com/MarkNaderKamel/CerberusX-Framework,CerberusX-Framework
241,Malware Analysis / Sandbox / Forensics / Reverse Engineering,https://github.com/MartinxMax/BloodCat,BloodCat
242,RAT / C2 / Botnet,https://github.com/Mazzy-Stars/lain_c2,lain_c2
243,Browser Automation / Scraping,https://github.com/MechanicalSoup/MechanicalSoup,MechanicalSoup
244,Payload / Exploit Frameworks,https://github.com/Meltedd/VisualSploit,VisualSploit
245,USB / Hardware Tools,https://github.com/MinhasKamal/TrojanCockroach,TrojanCockroach
246,AI-Powered Tools,https://github.com/Mintplex-Labs/anything-llm,anything-llm
247,Android,https://github.com/MobSF/Mobile-Security-Framework-MobSF,Mobile-Security-Framework-MobSF
248,Network / WiFi,https://github.com/MrAmirRezaie/MacChanger,MacChanger
249,Stealer / Keylogger / Grabber,https://github.com/N0rz3/Phunter,Phunter
250,Payload / Exploit Frameworks,https://github.com/N7WEra/BofAllTheThings,BofAllTheThings
251,Network / WiFi,https://github.com/Nabil-Official/N-TRACE,N-TRACE
252,Browser Automation / Scraping,https://github.com/NaiboWang/EasySpider,EasySpider
253,Malware Analysis / Sandbox / Forensics / Reverse Engineering,https://github.com/NationalSecurityAgency/ghidra,ghidra
254,Payload / Exploit Frameworks,https://github.com/NationalSecurityAgency/qgis-latlontools-plugin,qgis-latlontools-plugin
255,Scanner / Vulnerability Assessment,https://github.com/Neohapsis/bbqsql,bbqsql
256,Password / Credential Attacks,https://github.com/Net-hunter121/API-Wordlist,API-Wordlist
257,RAT / C2 / Botnet,https://github.com/NixWasHere/NebulaC2,NebulaC2
258,RAT / C2 / Botnet,https://github.com/Noir0x63/Command-Control-Forum,Command-Control-Forum
259,Scanner / Vulnerability Assessment,https://github.com/OJ/gobuster,gobuster
260,RAT / C2 / Botnet,https://github.com/P0142/LDAP-Bof-Collection,LDAP-Bof-Collection
261,Scanner / Vulnerability Assessment,https://github.com/PAPAMICA/waf-checker,waf-checker
262,Red Team Tools,https://github.com/PentesterFlow/OffensiveSET,OffensiveSET
263,RAT / C2 / Botnet,https://github.com/PhoenixC2/PhoenixC2,PhoenixC2
264,DDoS / Bombing Tools,https://github.com/Priyans0830m/DDOS-BOMBER,DDOS-BOMBER
265,Other / Uncategorized Security Tools,https://github.com/ProcessusT/LoadThat-PEandAssembly,LoadThat-PEandAssembly
266,Recon / OSINT,https://github.com/Proviesec/google-dorks,google-dorks
267,Malware Analysis / Sandbox / Forensics / Reverse Engineering,https://github.com/Pyran1/MalwareDatabase,MalwareDatabase
268,DDoS / Bombing Tools,https://github.com/R00tS3c/DDOS-RootSec,DDOS-RootSec
269,AI-Powered Tools,https://github.com/REDMED-X/OperatorsKit,OperatorsKit
270,Scanner / Vulnerability Assessment,https://github.com/RUB-NDS/Terrapin-Scanner,Terrapin-Scanner
271,Malware Analysis / Sandbox / Forensics / Reverse Engineering,https://github.com/Ragnt/AngryOxide,AngryOxide
272,Phishing / Initial Access,https://github.com/Raikia/FiercePhish/,
273,Malware Analysis / Sandbox / Forensics / Reverse Engineering,https://github.com/RamadhanAmizudin/malware,malware
274,Other / Uncategorized Security Tools,https://github.com/Red-Hex-Consulting/Ankou,Ankou
275,General Hacking Tools,https://github.com/Rhacknarok/hacksguard,hacksguard
276,Red Team Tools,https://github.com/RoseSecurity/Red-Teaming-TTPs,Red-Teaming-TTPs
277,Scanner / Vulnerability Assessment,https://github.com/RustScan/RustScan,RustScan
278,Payload / Exploit Frameworks,https://github.com/S1ckB0y1337/Active-Directory-Exploitation-Cheat-Sheet,Active-Directory-Exploitation-Cheat-Sheet
279,Red Team Tools,https://github.com/S3N4T0R-0X0/BEAR,BEAR
280,Recon / OSINT,https://github.com/SOsintOps/Exploratores,Exploratores
281,Recon / OSINT,https://github.com/SOsintOps/claudii-exploratores,claudii-exploratores
282,Other / Uncategorized Security Tools,https://github.com/STARK-404/FB-HACK/,
283,Other / Uncategorized Security Tools,https://github.com/SamNet-dev/paqctl,paqctl
284,Browser Automation / Scraping,https://github.com/ScrapeGraphAI/Scrapegraph-ai,Scrapegraph-ai
285,Browser Automation / Scraping,https://github.com/ScrapeHero/google-search-results-serp-api,google-search-results-serp-api
286,RAT / C2 / Botnet,https://github.com/SeroSkiid/SeroC2,SeroC2
287,Other / Uncategorized Security Tools,https://github.com/ServiceNow/DoomArena,DoomArena
288,Other / Uncategorized Security Tools,https://github.com/Sheikh-Nightshader/MetaXtractor/,
289,Other / Uncategorized Security Tools,https://github.com/Sheikh-Nightshader/Pathfinder/,
290,AI-Powered Tools,https://github.com/SnailSploit/Claude-Red,Claude-Red
291,RAT / C2 / Botnet,https://github.com/Souhardya/UBoat,UBoat
292,Network / WiFi,https://github.com/Squuv/WifiBF,WifiBF
293,Recon / OSINT,https://github.com/SubGlitch1/OSRipper,OSRipper
294,Other / Uncategorized Security Tools,https://github.com/SubtitleEdit/subtitleedit,subtitleedit
295,General Hacking Tools,https://github.com/Syslifters/sysreptor,sysreptor
296,Other / Uncategorized Security Tools,https://github.com/T-Dynamos/WAFA,WAFA
297,Recon / OSINT,https://github.com/TakSec/google-dorks-bug-bounty,google-dorks-bug-bounty
298,Stealer / Keylogger / Grabber,https://github.com/TaxMachine/Grabbers-Deobfuscator,Grabbers-Deobfuscator
